id,tags,category,region,longitude,latitude,datetime,light,weather,road_conditions,participants_count,participant_categories,severity,dead_count,injured_count
2421162,Дорожно-транспортные происшествия,Столкновение,Кемеровская область - Кузбасс,86.080477,55.373837,2019-04-01 21:40:00,"В темное время суток, освещение включено",Пасмурно,"Сухое, Отсутствие, плохая различимость горизонтальной разметки проезжей части",4,Все участники,Легкий,0,2
2335441,"Дорожно-транспортные происшествия, ДТП и пострадавшие дети в возрасте до 16 лет",Столкновение,Хабаровский край,135.0493,48.5386,2016-07-29 19:00:00,Светлое время суток,Ясно,Сухое,4,"Дети, Все участники",Легкий,0,1
1964569,Дорожно-транспортные происшествия,Наезд на пешехода,Рязанская область,39.747258,54.614138,2019-04-06 15:07:00,Светлое время суток,Пасмурно,"Сухое, Неудовлетворительное состояние обочин",2,"Пешеходы, Все участники",Легкий,0,1
2115365,Дорожно-транспортные происшествия,Столкновение,Астраханская область,48.047826,46.361856,2020-01-02 23:35:00,"В темное время суток, освещение включено",Ясно,"Сухое, Отсутствие, плохая различимость горизонтальной разметки проезжей части, Нарушения в размещении наружной рекламы",4,Все участники,Легкий,0,3
2289830,Дорожно-транспортные происшествия,Наезд на пешехода,Республика Бурятия,107.6042,51.8108,2016-10-10 19:20:00,"В темное время суток, освещение отсутствует",Ясно,"Сухое, Отсутствие, плохая различимость горизонтальной разметки проезжей части",2,"Пешеходы, Все участники",Легкий,0,1
2778439,Дорожно-транспортные происшествия,Наезд на препятствие,Калужская область,36.301092,54.534698,2022-11-20 23:19:00,"В темное время суток, освещение включено",Пасмурно,Обработанное противогололедными материалами,2,Все участники,Легкий,0,2
2851820,Дорожно-транспортные происшествия,Наезд на пешехода,Алтайский край,83.776025,53.336418,2023-06-09 16:40:00,Светлое время суток,Ясно,"Иные недостатки, Сухое, Отсутствие, плохая различимость горизонтальной разметки проезжей части, Неправильное применение, плохая видимость дорожных знаков",2,"Пешеходы, Все участники",Легкий,0,1
1764763,"Дорожно-транспортные происшествия, ДТП и пострадавшие дети в возрасте до 16 лет",Столкновение,Курганская область,65.0,55.0,2017-10-22 16:45:00,Светлое время суток,Ясно,"Сухое, Отсутствие, плохая различимость горизонтальной разметки проезжей части",4,"Дети, Все участники",Легкий,0,1
2966244,Дорожно-транспортные происшествия,Столкновение,Красноярский край,94.989306,55.876087,2024-04-03 19:55:00,"В темное время суток, освещение включено",Пасмурно,Сухое,5,Все участники,Тяжёлый,0,3
2505245,Дорожно-транспортные происшествия,Съезд с дороги,Кемеровская область - Кузбасс,86.082902,54.309864,2020-10-11 19:20:00,"В темное время суток, освещение отсутствует",Ясно,Мокрое,1,Все участники,С погибшими,1,0
2738227,"Дорожно-транспортные происшествия, ДТП и пострадавшие дети в возрасте до 16 лет",Столкновение,Свердловская область,60.031904,57.853161,2022-08-06 11:00:00,Светлое время суток,Ясно,Сухое,7,"Дети, Все участники",С погибшими,2,4
2886810,Дорожно-транспортные происшествия,Наезд на пешехода,Республика Татарстан (Татарстан),49.244134,55.882641,2023-09-29 16:00:00,Светлое время суток,Ясно,Сухое,2,"Пешеходы, Все участники",Тяжёлый,0,1
1797094,"Дорожно-транспортные происшествия, ДТП и пострадавшие дети в возрасте до 16 лет",Съезд с дороги,Тюменская область,66.563416,56.334716,2020-01-05 10:10:00,Светлое время суток,Ясно,Сухое,2,"Дети, Все участники",Легкий,0,1
2454726,Дорожно-транспортные происшествия,Падение пассажира,Новгородская область,31.25,58.516667,2015-07-10 16:00:00,Светлое время суток,Пасмурно,Сухое,2,Все участники,Легкий,0,1
2778874,Дорожно-транспортные происшествия,Наезд на пешехода,Москва,37.580237,55.652041,2022-11-14 14:38:00,Светлое время суток,Пасмурно,Сухое,2,"Пешеходы, Все участники",С погибшими,1,0
2857682,Дорожно-транспортные происшествия,Наезд на препятствие,Свердловская область,60.735351,56.768243,2023-07-31 15:45:00,Светлое время суток,Ясно,Сухое,1,"Мотоциклисты, Все участники",Легкий,0,1
1573160,Дорожно-транспортные происшествия,Наезд на пешехода,Москва,37.714777,55.732704,2019-12-17 23:10:00,"В темное время суток, освещение включено",Пасмурно,Сухое,2,"Пешеходы, Все участники",Легкий,0,1
2866004,Дорожно-транспортные происшествия,Столкновение,Хабаровский край,135.084586,48.47785,2023-07-01 20:43:00,"В темное время суток, освещение включено",Ясно,Сухое,3,Все участники,Легкий,0,2
2347857,Дорожно-транспортные происшествия,Иной вид ДТП,Иркутская область,103.5667,52.7833,2016-11-30 20:00:00,"В темное время суток, освещение включено",Ясно,Сухое,2,Все участники,С погибшими,1,0
2838183,Дорожно-транспортные происшествия,Съезд с дороги,Ивановская область,41.847348,57.324051,2023-05-13 17:10:00,Светлое время суток,Ясно,Сухое,2,"Мотоциклисты, Все участники",Легкий,0,2
2137960,Дорожно-транспортные происшествия,Столкновение,Московская область,37.977934,55.606596,2020-03-27 16:10:00,Светлое время суток,Ясно,Сухое,2,Все участники,Тяжёлый,0,1
2895825,Дорожно-транспортные происшествия,Съезд с дороги,Новгородская область,31.453707,58.642932,2023-09-02 19:30:00,"В темное время суток, освещение включено",Ясно,Сухое,1,Все участники,Легкий,0,1
2138776,Дорожно-транспортные происшествия,Столкновение,Московская область,38.4012,55.9364,2017-06-21 07:15:00,Светлое время суток,Ясно,Пыльное,4,Все участники,Тяжёлый,0,2
1697489,Дорожно-транспортные происшествия,Наезд на препятствие,Краснодарский край,38.843611,44.251124,2019-12-14 13:10:00,Светлое время суток,Пасмурно,"Мокрое, Отсутствие, плохая различимость горизонтальной разметки проезжей части",1,Все участники,Тяжёлый,0,1
1676698,"Дорожно-транспортные происшествия, ДТП и пострадавшие дети в возрасте до 16 лет",Наезд на пешехода,Пермский край,56.0,59.0,2015-05-15 17:00:00,Светлое время суток,Ясно,"Сухое, Отсутствие, плохая различимость горизонтальной разметки проезжей части",2,"Пешеходы, Дети, Все участники",Тяжёлый,0,1
1535240,"Дорожно-транспортные происшествия, ДТП и пострадавшие пешеходы, из-за наезда на пешеходов, на пешеходных переходах, по вине пешеходов",Наезд на пешехода,Москва,37.6548,55.674984,2018-07-24 09:30:00,Светлое время суток,Пасмурно,"Сухое, Отсутствие, плохая различимость горизонтальной разметки проезжей части, Отсутствие дорожных знаков в необходимых местах",2,"Пешеходы, Все участники",Тяжёлый,0,1
1923692,Дорожно-транспортные происшествия,Наезд на пешехода,Санкт-Петербург,30.206223,59.99522,2019-05-05 19:25:00,Светлое время суток,Дождь,"Мокрое, Отсутствие дорожных знаков в необходимых местах",2,"Пешеходы, Все участники",Легкий,0,1
1618656,"Дорожно-транспортные происшествия, ДТП и пострадавшие дети в возрасте до 16 лет",Столкновение,Тульская область,38.1694,53.0522,2016-01-05 12:50:00,Светлое время суток,Пасмурно,Мокрое,4,"Дети, Все участники",Легкий,0,2
2210940,"Дорожно-транспортные происшествия, ДТП и пострадавшие дети в возрасте до 16 лет",Столкновение,Удмуртская Республика,53.645654,56.952999,2018-05-16 14:00:00,Светлое время суток,Ясно,Сухое,4,"Дети, Все участники",С погибшими,3,1
2271596,Дорожно-транспортные происшествия,Наезд на пешехода,Самарская область,50.1222,53.1928,2016-11-10 10:15:00,Светлое время суток,Пасмурно,"Мокрое, Отсутствие дорожных знаков в необходимых местах",2,"Пешеходы, Все участники",Тяжёлый,0,1
2867007,Дорожно-транспортные происшествия,Столкновение,Республика Саха (Якутия),129.774413,62.13557,2023-07-02 20:58:00,Светлое время суток,"Ясно, Температура выше +30С",Сухое,4,Все участники,Легкий,0,4
1744569,Дорожно-транспортные происшествия,Наезд на пешехода,Пензенская область,46.5839,53.1169,2016-08-21 11:00:00,Светлое время суток,Ясно,"Отсутствие элементов обустройства остановочного пункта общественного пассажирского транспорта, Сухое",3,"Пешеходы, Все участники",С погибшими,1,1
2615430,Дорожно-транспортные происшествия,Столкновение,Республика Коми,49.653246,60.300099,2021-08-29 15:30:00,Светлое время суток,Ясно,Сухое,3,Все участники,Легкий,0,1
2213204,Дорожно-транспортные происшествия,Наезд на пешехода,Удмуртская Республика,53.224039,56.94323,2019-05-23 23:27:00,"В темное время суток, освещение отсутствует",Дождь,"Мокрое, Отсутствие освещения, Отсутствие тротуаров (пешеходных дорожек)",2,"Пешеходы, Все участники",Легкий,0,1
2102735,Дорожно-транспортные происшествия,Опрокидывание,Владимирская область,40.4731,56.3169,2017-04-23 20:00:00,"В темное время суток, освещение включено",Ясно,Сухое,1,Все участники,Легкий,0,1
2478557,Дорожно-транспортные происшествия,Столкновение,Пермский край,58.805265,58.511183,2020-09-01 22:30:00,"В темное время суток, освещение отсутствует",Дождь,Мокрое,5,Все участники,Тяжёлый,0,2
2686001,Дорожно-транспортные происшествия,Наезд на пешехода,Санкт-Петербург,30.33529,59.984542,2022-06-16 16:45:00,Светлое время суток,Ясно,"Иные недостатки, Сухое",2,"Пешеходы, Все участники",Тяжёлый,0,1
2766304,Дорожно-транспортные происшествия,Наезд на пешехода,Москва,37.63253,55.771275,2022-10-20 11:07:00,Светлое время суток,Пасмурно,Сухое,2,"Пешеходы, Все участники",Легкий,0,1
1723458,Дорожно-транспортные происшествия,Столкновение,Краснодарский край,37.637626,45.123225,2019-09-15 12:30:00,Светлое время суток,Ясно,Сухое,3,Все участники,Тяжёлый,0,1
1547159,Дорожно-транспортные происшествия,Столкновение,Москва,37.65226,55.728071,2019-01-17 21:30:00,"В темное время суток, освещение включено",Снегопад,Заснеженное,3,"Общ. транспорт, Все участники",Тяжёлый,0,2
2287842,Дорожно-транспортные происшествия,Столкновение,Республика Бурятия,107.505341,51.832887,2019-07-21 19:45:00,Светлое время суток,Ясно,Сухое,2,"Мотоциклисты, Все участники",Тяжёлый,0,1
2570551,Дорожно-транспортные происшествия,Столкновение,Свердловская область,60.611508,56.760222,2021-05-12 18:10:00,Светлое время суток,Ясно,"Сухое, Отсутствие, плохая различимость горизонтальной разметки проезжей части, Отсутствие дорожных знаков в необходимых местах",3,Все участники,Легкий,0,1
2964355,Дорожно-транспортные происшествия,Наезд на пешехода,Московская область,36.726329,55.377684,2024-04-02 18:14:00,Светлое время суток,Ясно,"Сухое, Отсутствие дорожных знаков в необходимых местах, Отсутствие тротуаров (пешеходных дорожек)",2,"Пешеходы, Все участники",Тяжёлый,0,1
1947422,Дорожно-транспортные происшествия,Наезд на препятствие,Калужская область,35.142454,53.492607,2017-08-04 02:30:00,"В темное время суток, освещение отсутствует",Ясно,"Сухое, Отсутствие, плохая различимость горизонтальной разметки проезжей части",2,Все участники,С погибшими,1,1
1785238,Дорожно-транспортные происшествия,Столкновение,Свердловская область,60.0,56.0,2015-10-13 11:10:00,Светлое время суток,Ясно,"Мокрое, Недостатки зимнего содержания, Нарушения в размещении наружной рекламы",2,Все участники,Легкий,0,1
2817622,Дорожно-транспортные происшествия,Столкновение,Тюменская область,65.54703,57.177535,2023-04-15 10:00:00,Светлое время суток,Ясно,"Мокрое, Отсутствие, плохая различимость горизонтальной разметки проезжей части, Неправильное применение, плохая видимость дорожных знаков",3,Все участники,Легкий,0,1
1882021,Дорожно-транспортные происшествия,Наезд на пешехода,Ленинградская область,30.156655,59.552254,2018-10-05 19:30:00,"В темное время суток, освещение отсутствует",Дождь,"Мокрое, Отсутствие, плохая различимость горизонтальной разметки проезжей части, Отсутствие тротуаров (пешеходных дорожек)",2,"Пешеходы, Все участники",С погибшими,1,0
2975601,Дорожно-транспортные происшествия,Столкновение,Республика Марий Эл,47.807071,56.265443,2024-05-20 12:07:00,Светлое время суток,Ясно,Сухое,3,Все участники,Тяжёлый,0,1
2438538,Дорожно-транспортные происшествия,Наезд на препятствие,Ростовская область,39.0,47.0,2015-04-30 06:00:00,Сумерки,Пасмурно,Сухое,1,Все участники,Легкий,0,1
2194672,Дорожно-транспортные происшествия,Наезд на пешехода,Ставропольский край,41.922208,44.998485,2018-01-14 11:35:00,Светлое время суток,Пасмурно,"Обработанное противогололедными материалами, Отсутствие дорожных знаков в необходимых местах",2,"Пешеходы, Все участники",Легкий,0,1
2443103,Дорожно-транспортные происшествия,Столкновение,Ростовская область,42.217906,47.526576,2020-08-14 16:00:00,Светлое время суток,Ясно,Сухое,3,Все участники,Легкий,0,1
2841116,Дорожно-транспортные происшествия,Съезд с дороги,Красноярский край,93.118701,56.911509,2023-05-05 02:10:00,"В темное время суток, освещение включено",Ясно,"Сухое, Отсутствие, плохая различимость горизонтальной разметки проезжей части, Неудовлетворительное состояние обочин, Отсутствие тротуаров (пешеходных дорожек)",5,Все участники,С погибшими,2,1
2058864,"Дорожно-транспортные происшествия, ДТП и пострадавшие дети в возрасте до 16 лет",Съезд с дороги,Амурская область,124.580412,54.909284,2020-08-26 06:47:00,Светлое время суток,"Пасмурно, Туман",Мокрое,4,"Дети, Все участники",Тяжёлый,0,4
2523797,Дорожно-транспортные происшествия,Столкновение,Москва,37.383567,55.52257,2020-12-26 11:15:00,Светлое время суток,Ясно,Мокрое,3,Все участники,Тяжёлый,0,1
1820532,"Дорожно-транспортные происшествия, ДТП и пострадавшие дети в возрасте до 16 лет",Столкновение,Оренбургская область,55.139167,51.803056,2015-03-27 20:30:00,Сумерки,Ясно,"Сухое, Отсутствие, плохая различимость горизонтальной разметки проезжей части",3,"Дети, Все участники",Легкий,0,1
1604775,Дорожно-транспортные происшествия,Наезд на препятствие,Смоленская область,31.3139,55.1537,2016-04-11 19:30:00,Светлое время суток,Ясно,"Сухое, Отсутствие тротуаров (пешеходных дорожек)",3,Все участники,Тяжёлый,0,2
2210504,Дорожно-транспортные происшествия,Наезд на животное,Удмуртская Республика,53.684522,56.959875,2016-05-15 21:55:00,"В темное время суток, освещение отсутствует",Ясно,Сухое,2,Все участники,Легкий,0,2
2732426,Дорожно-транспортные происшествия,Съезд с дороги,Иркутская область,103.341823,53.047457,2022-07-16 14:20:00,Светлое время суток,Ясно,"Сухое, Неровное покрытие",1,Все участники,Тяжёлый,0,1
