Метрика,Значение
F1-score (тест),0.2919
ROC-AUC,0.7144
PR-AUC,0.2461
Precision (Без погибших),0.9384
Recall (Без погибших),0.7902
F1-score (Без погибших),0.8579
Precision (С погибшими),0.2045
Recall (С погибшими),0.5097
F1-score (С погибшими),0.2919
