id,tags,category,region,longitude,latitude,datetime,light,weather,road_conditions,participants_count,participant_categories,severity,dead_count,injured_count,year,month,day,hour
2095670,Дорожно-транспортные происшествия,Опрокидывание,Чукотский автономный округ,-171.701514,65.504227,2019-01-29 04:30:00,"В темное время суток, освещение включено",Ясно,"Недостатки зимнего содержания, Со снежным накатом",3,Все участники,Тяжёлый,0,1,2019,1,29,4
2917861,Дорожно-транспортные происшествия,Столкновение,Липецкая область,39.174414,52.328691,2023-11-02 19:00:00,"В темное время суток, освещение отсутствует",Пасмурно,Мокрое,4,Все участники,С погибшими,1,3,2023,11,2,19
2389600,Дорожно-транспортные происшествия,Наезд на пешехода,Приморский край,132.006762,43.379499,2019-02-09 19:20:00,"В темное время суток, освещение включено",Ясно,"Сухое, Отсутствие, плохая различимость горизонтальной разметки проезжей части",2,"Пешеходы, Все участники",С погибшими,1,0,2019,2,9,19
2743323,"Дорожно-транспортные происшествия, ДТП и пострадавшие дети в возрасте до 16 лет",Столкновение,Белгородская область,36.622666,50.659354,2022-08-24 18:43:00,Светлое время суток,Ясно,Сухое,9,"Дети, Все участники",С погибшими,1,7,2022,8,24,18
2962133,Дорожно-транспортные происшествия,Наезд на стоящее ТС,Москва,37.667795,55.573577,2024-04-07 12:15:00,Светлое время суток,Ясно,Сухое,1,"Мотоциклисты, Все участники",Тяжёлый,0,1,2024,4,7,12
2723005,Дорожно-транспортные происшествия,Наезд на велосипедиста,Пермский край,56.943158,57.4309,2022-07-13 10:25:00,Светлое время суток,Ясно,Сухое,2,"Велосипедисты, Все участники",Тяжёлый,0,1,2022,7,13,10
2320957,Дорожно-транспортные происшествия,Опрокидывание,Алтайский край,83.766214,53.579347,2018-10-19 01:00:00,"В темное время суток, освещение отсутствует",Пасмурно,Сухое,2,"Мотоциклисты, Все участники",Легкий,0,2,2018,10,19,1
2548486,Дорожно-транспортные происшествия,Столкновение,Республика Саха (Якутия),129.47058,62.071864,2021-02-14 10:57:00,Светлое время суток,Снегопад,Сухое,3,Все участники,Легкий,0,2,2021,2,14,10
2735470,Дорожно-транспортные происшествия,Столкновение,Республика Марий Эл,47.902129,56.641587,2019-06-04 16:20:00,Светлое время суток,Ясно,"Неисправность светофора, Сухое, Отсутствие, плохая различимость горизонтальной разметки проезжей части, Отсутствие дорожных знаков в необходимых местах, Отсутствие пешеходных ограждений в необходимых местах",10,Все участники,Тяжёлый,0,7,2019,6,4,16
2741333,Дорожно-транспортные происшествия,Падение пассажира,Рязанская область,39.701229,54.630286,2022-08-16 09:05:00,Светлое время суток,Ясно,"Сухое, Отсутствие, плохая различимость горизонтальной разметки проезжей части",3,Все участники,Легкий,0,1,2022,8,16,9
2252846,Дорожно-транспортные происшествия,Столкновение,Челябинская область,,,2015-06-16 17:00:00,Светлое время суток,Ясно,"Сухое, Отсутствие, плохая различимость горизонтальной разметки проезжей части",3,Все участники,Тяжёлый,0,1,2015,6,16,17
1782754,Дорожно-транспортные происшествия,Наезд на пешехода,Свердловская область,60.821667,56.904167,2015-04-02 17:00:00,Светлое время суток,Ясно,"Сухое, Дефекты покрытия",2,"Пешеходы, Все участники",Легкий,0,1,2015,4,2,17
1782109,Дорожно-транспортные происшествия,Наезд на препятствие,Свердловская область,60.2664,56.5053,2016-09-25 11:30:00,Светлое время суток,Ясно,Сухое,1,Все участники,Легкий,0,1,2016,9,25,11
1622589,Дорожно-транспортные происшествия,Опрокидывание,Тульская область,37.5139,54.7231,2019-06-24 17:20:00,Светлое время суток,Ясно,Сухое,1,Все участники,Легкий,0,1,2019,6,24,17
