accident_id,vehicle_id,category,brand,model,manufacture_year
2486855,2486855_1,Прочие легковые автомобили,Прочие марки легковых ТС,Прочие марки легковых ТС,2006
2486855,2486855_2,Мотоциклы,YAMAHA,FZ,2009
2154825,2154825_1,Самосвалы,МАЗ-МАН,Прочие модели МАЗ-МАН,2012
2154825,2154825_2,"В-класс (малый) до 3,9 м",KIA,Прочие модели KIA,2007
2143045,2143045_1,Прочие грузовые автомобили,ГАЗ,Прочие модели ГАЗ,2012
2143045,2143045_2,Мопеды с двигателем внутреннего сгорания менее 50 см. куб.,HONDA,Прочие модели Honda,2009
2639240,2639240_1,"В-класс (малый) до 3,9 м",SKODA,Octavia,2010
2975087,2975087_1,"В-класс (малый) до 3,9 м",HYUNDAI,Прочие модели Hyundai,2017
2151745,2151745_1,Мотоциклы,YAMAHA,FZ,2006
2154891,2154891_1,Мопеды с двигателем внутреннего сгорания менее 50 см. куб.,Прочие марки ТС,Прочие марки и модели ТС,2015
2154891,2154891_2,"А-класс (особо малый) до 3,5 м",KIA,Spectra,2008
2156388,2156388_1,"В-класс (малый) до 3,9 м",HYUNDAI,Accent,2006
2144836,2144836_1,"В-класс (малый) до 3,9 м",RENAULT,Logan,2012
2702406,2702406_1,"А-класс (особо малый) до 3,5 м",УАЗ,Patriot (Патриот),2016
2702406,2702406_2,"А-класс (особо малый) до 3,5 м",ВАЗ,Прочие модели ВАЗ,2011
2147372,2147372_1,"В-класс (малый) до 3,9 м",CITROEN,Прочие модели Citroen,2012
2154485,2154485_1,"В-класс (малый) до 3,9 м",ВАЗ,Прочие модели ВАЗ,2011
2156815,2156815_1,"В-класс (малый) до 3,9 м",OPEL,Astra,2011
2130710,2130710_1,"С-класс (малый средний, компактный) до 4,3 м",HYUNDAI,Solaris,2012
2130710,2130710_2,Мотоциклы,HONDA,CB,2000
2664271,2664271_1,Седельные тягачи,КАМАЗ,Прочие модели КАМАЗ,2020
2664271,2664271_2,Прочие легковые автомобили,BMW,X5,2010
2131571,2131571_1,"В-класс (малый) до 3,9 м",RENAULT,Logan,2007
2152814,2152814_1,"Одноэтажные, сочлененные длиной более 12 м",ГОЛАЗ,6228,2013
2144881,2144881_1,"С-класс (малый средний, компактный) до 4,3 м",VOLKSWAGEN,Polo,2016
2157543,2157543_1,Седельные тягачи,МАЗ-МАН,Прочие модели МАЗ-МАН,2004
2157543,2157543_2,Прочие легковые автомобили,VOLKSWAGEN,Polo,2018
2134582,2134582_1,"А-класс (особо малый) до 3,5 м",KIA,Rio,2016
2150542,2150542_1,"D-класс (средний) до 4,6 м",KIA,Rio,2014
2546470,2546470_1,"С-класс (малый средний, компактный) до 4,3 м",MERCEDES,E-класс,2015
2546470,2546470_2,"С-класс (малый средний, компактный) до 4,3 м",VOLKSWAGEN,Caravelle,2010
2546470,2546470_3,Самосвалы,SCANIA,R,2012
2546470,2546470_4,Бортовые грузовые автомобили,ГАЗ,Прочие модели ГАЗ,2015
2162273,2162273_1,Автобусы (без типа),SCANIA,Прочие модели Scania,2004
2702113,2702113_1,Рефрижераторы,RENAULT,Kangoo,2014
2702113,2702113_2,"В-класс (малый) до 3,9 м",CITROEN,Berlingo,2012
2964384,2964384_1,Мотоциклы,HARLEY-DAVIDSON,XL 1200,2009
2964384,2964384_2,Бортовые грузовые автомобили,Прочие марки ТС,Прочие марки и модели ТС,2024
2136234,2136234_1,"С-класс (малый средний, компактный) до 4,3 м",ВАЗ,ВАЗ 2114 и модификации,2013
2136234,2136234_2,"D-класс (средний) до 4,6 м",NISSAN,X-Trail,2008
2159276,2159276_1,Минивэны и универсалы повышенной вместимости,LAND ROVER,Range Rover,2009
2158241,2158241_1,"С-класс (малый средний, компактный) до 4,3 м",OPEL,Astra,2010
2158241,2158241_2,"В-класс (малый) до 3,9 м",FORD,Escort,1996
2133028,2133028_1,Одноэтажные длиной от 5 до 8 м,ПАЗ,3204,2017
2133028,2133028_2,"В-класс (малый) до 3,9 м",SKODA,Octavia,2013
2159382,2159382_1,"В-класс (малый) до 3,9 м",BMW,Прочие модели BMW,2008
2159382,2159382_2,"В-класс (малый) до 3,9 м",AUDI,А3,2010
2159382,2159382_3,"В-класс (малый) до 3,9 м",ВАЗ,ВАЗ 2114 и модификации,2011
2878232,2878232_1,Прочие легковые автомобили,FIAT,Ducato,1996
2702281,2702281_1,"В-класс (малый) до 3,9 м",OPEL,Astra,2010
2702281,2702281_2,"А-класс (особо малый) до 3,5 м",RENAULT,Sandero,2011
2133174,2133174_1,"В-класс (малый) до 3,9 м",VOLKSWAGEN,Polo,2018
2141482,2141482_1,Прочие легковые автомобили,NISSAN,Almera,2015
2141482,2141482_2,Самосвалы,SCANIA,Прочие модели Scania,2012
2137795,2137795_1,"А-класс (особо малый) до 3,5 м",FORD,Focus,2003
2137795,2137795_2,"С-класс (малый средний, компактный) до 4,3 м",HYUNDAI,Solaris,2011
2150446,2150446_1,Мотоциклы,HONDA,CBR,2006
2150446,2150446_2,Фургоны,УАЗ,3741,2016
2934708,2934708_1,Прочие легковые автомобили,CITROEN,DS3,2010
1554124,1554124_1,"В-класс (малый) до 3,9 м",MITSUBISHI,Outlander,2008
1554124,1554124_2,"В-класс (малый) до 3,9 м",JEEP,Cherokee,2016
1541497,1541497_1,"В-класс (малый) до 3,9 м",MERCEDES,E-класс,2016
1541497,1541497_2,Мотоциклы,BMW,F 650,2017
1529382,1529382_1,"А-класс (особо малый) до 3,5 м",SUZUKI,Grand Vitara,2007
2726525,2726525_1,Мотоциклы,SUZUKI,SV,2006
2690398,2690398_1,Фургоны,ГАЗ,Next,2017
2690398,2690398_2,Прочие легковые автомобили,LAND ROVER,Прочие модели Land Rover,2017
2623081,2623081_1,Прочие легковые автомобили,FAW,Прочие модели FAW,2019
2623334,2623334_1,Мотоциклы,YAMAHA,YZF,2005
2661187,2661187_1,"В-класс (малый) до 3,9 м",SKODA,Rapid,2021
2689733,2689733_1,"С-класс (малый средний, компактный) до 4,3 м",BMW,3er,2014
2689733,2689733_2,Фургоны,KIA,Прочие модели KIA,2013
2794098,2794098_1,Одноэтажные длиной от 8 до 12 м,ЛИАЗ,5292,2018
2741095,2741095_1,"В-класс (малый) до 3,9 м",KIA,Rio,2018
2660942,2660942_1,"В-класс (малый) до 3,9 м",SKODA,Octavia,2018
2734165,2734165_1,Велосипеды,,,
2734165,2734165_2,Прочие легковые автомобили,MINI,Cooper,2016
2766218,2766218_1,"D-класс (средний) до 4,6 м",VOLKSWAGEN,Polo,2018
2766218,2766218_2,"D-класс (средний) до 4,6 м",SKODA,Rapid,2020
2953594,2953594_1,"В-класс (малый) до 3,9 м",FORD,EcoSport,2018
2953594,2953594_2,Велосипеды,,,2018
2820621,2820621_1,Одноэтажные длиной от 8 до 12 м,ЛИАЗ,Прочие модели ЛИАЗ,2016
2820955,2820955_1,Прочие легковые автомобили,KIA,Rio,2017
2972653,2972653_1,Фургоны,ISUZU,Прочие модели Isuzu,2017
2972653,2972653_2,"D-класс (средний) до 4,6 м",HYUNDAI,Sonata,2022
2972653,2972653_3,"D-класс (средний) до 4,6 м",KIA,Optima,2017
2972653,2972653_4,Седельные тягачи,Прочие марки грузовых ТС,Прочие марки грузовых ТС,2023
2888710,2888710_1,"В-класс (малый) до 3,9 м",RENAULT,Symbol,2006
2888710,2888710_2,Фургоны,IVECO,Прочие модели Iveco,2013
2809074,2809074_1,"С-класс (малый средний, компактный) до 4,3 м",GEELY,Прочие модели Geely,2022
1569385,1569385_1,"С-класс (малый средний, компактный) до 4,3 м",HYUNDAI,Solaris,2013
2930188,2930188_1,Трамваи,Прочие марки ТС,Прочие марки и модели ТС,2018
2902583,2902583_1,"С-класс (малый средний, компактный) до 4,3 м",VOLKSWAGEN,Polo,2018
1532199,1532199_1,Фургоны,ГАЗ,27527 и модификации,2010
1532199,1532199_2,Одноэтажные длиной от 5 до 8 м,MERCEDES,Прочие модели Mercedes,2016
